run,iteration,n_neighbors,mae,rmse
5,3,1,249217570.95288888,453615778.1636141
5,3,2,259405910.34622225,476707589.8747005
5,3,3,269515661.57837033,484851161.1295286
5,3,4,269419451.6859444,496583061.35551596
5,3,5,273359168.0842667,504670255.9379683
5,4,1,90896755.29022223,208161371.90072134
5,4,2,116204500.3291111,243602842.956893
5,4,3,113021012.11118521,237314542.97411144
5,4,4,109179728.91088891,220583584.55615562
5,4,5,126467394.74435556,238299682.97291204
5,5,1,99479353.41911113,206177990.88677204
5,5,2,102207895.71100001,205311016.0082839
5,5,3,101694033.68881482,198291899.24097425
5,5,4,95934101.83366667,182380240.2573438
5,5,5,89991029.53875555,180197158.5842448
6,2,1,129467023.06622219,275887190.82536745
6,2,2,116087670.48166664,220572125.00398973
6,2,3,104795363.59888887,207615163.6429579
6,2,4,107413695.11011112,203043466.1066124
6,2,5,106106789.09942226,206169289.52704108
6,3,1,249217570.95288888,453615778.1636141
6,3,2,259405910.34622225,476707589.8747005
6,3,3,269515661.57837033,484851161.1295286
6,3,4,269419451.6859444,496583061.35551596
6,3,5,273359168.0842667,504670255.9379683
6,4,1,90896755.29022223,208161371.90072134
6,4,2,116204500.3291111,243602842.956893
6,4,3,113021012.11118521,237314542.97411144
6,4,4,109179728.91088891,220583584.55615562
6,4,5,126467394.74435556,238299682.97291204
6,5,1,99479353.41911113,206177990.88677204
6,5,2,102207895.71100001,205311016.0082839
6,5,3,101694033.68881482,198291899.24097425
6,5,4,95934101.83366667,182380240.2573438
6,5,5,89991029.53875555,180197158.5842448
7,2,1,129467023.06622219,275887190.82536745
7,2,2,116087670.48166664,220572125.00398973
7,2,3,104795363.59888887,207615163.6429579
7,2,4,107413695.11011112,203043466.1066124
7,2,5,106106789.09942226,206169289.52704108
7,3,1,249217570.95288888,453615778.1636141
7,3,2,259405910.34622225,476707589.8747005
7,3,3,269515661.57837033,484851161.1295286
7,3,4,269419451.6859444,496583061.35551596
7,3,5,273359168.0842667,504670255.9379683
7,4,1,90896755.29022223,208161371.90072134
7,4,2,116204500.3291111,243602842.956893
7,4,3,113021012.11118521,237314542.97411144
7,4,4,109179728.91088891,220583584.55615562
7,4,5,126467394.74435556,238299682.97291204
7,5,1,99479353.41911113,206177990.88677204
7,5,2,102207895.71100001,205311016.0082839
7,5,3,101694033.68881482,198291899.24097425
7,5,4,95934101.83366667,182380240.2573438
7,5,5,89991029.53875555,180197158.5842448
8,2,1,129467023.06622219,275887190.82536745
8,2,2,116087670.48166664,220572125.00398973
8,2,3,104795363.59888887,207615163.6429579
8,2,4,107413695.11011112,203043466.1066124
8,2,5,106106789.09942226,206169289.52704108
8,3,1,249217570.95288888,453615778.1636141
8,3,2,259405910.34622225,476707589.8747005
8,3,3,269515661.57837033,484851161.1295286
8,3,4,269419451.6859444,496583061.35551596
8,3,5,273359168.0842667,504670255.9379683
8,4,1,90896755.29022223,208161371.90072134
8,4,2,116204500.3291111,243602842.956893
8,4,3,113021012.11118521,237314542.97411144
8,4,4,109179728.91088891,220583584.55615562
8,4,5,126467394.74435556,238299682.97291204
8,5,1,99479353.41911113,206177990.88677204
8,5,2,102207895.71100001,205311016.0082839
8,5,3,101694033.68881482,198291899.24097425
8,5,4,95934101.83366667,182380240.2573438
8,5,5,89991029.53875555,180197158.5842448
9,2,1,129467023.06622219,275887190.82536745
9,2,2,116087670.48166664,220572125.00398973
9,2,3,104795363.59888887,207615163.6429579
9,2,4,107413695.11011112,203043466.1066124
9,2,5,106106789.09942226,206169289.52704108
9,3,1,249217570.95288888,453615778.1636141
9,3,2,259405910.34622225,476707589.8747005
9,3,3,269515661.57837033,484851161.1295286
9,3,4,269419451.6859444,496583061.35551596
9,3,5,273359168.0842667,504670255.9379683
9,4,1,90896755.29022223,208161371.90072134
9,4,2,116204500.3291111,243602842.956893
9,4,3,113021012.11118521,237314542.97411144
9,4,4,109179728.91088891,220583584.55615562
9,4,5,126467394.74435556,238299682.97291204
9,5,1,99479353.41911113,206177990.88677204
9,5,2,102207895.71100001,205311016.0082839
9,5,3,101694033.68881482,198291899.24097425
9,5,4,95934101.83366667,182380240.2573438
9,5,5,89991029.53875555,180197158.5842448
10,2,1,129467023.06622219,275887190.82536745
10,2,2,116087670.48166664,220572125.00398973
10,2,3,104795363.59888887,207615163.6429579
10,2,4,107413695.11011112,203043466.1066124
10,2,5,106106789.09942226,206169289.52704108
10,3,1,249217570.95288888,453615778.1636141
10,3,2,259405910.34622225,476707589.8747005
10,3,3,269515661.57837033,484851161.1295286
10,3,4,269419451.6859444,496583061.35551596
10,3,5,273359168.0842667,504670255.9379683
10,4,1,90896755.29022223,208161371.90072134
10,4,2,116204500.3291111,243602842.956893
10,4,3,113021012.11118521,237314542.97411144
10,4,4,109179728.91088891,220583584.55615562
10,4,5,126467394.74435556,238299682.97291204
10,5,1,99479353.41911113,206177990.88677204
10,5,2,102207895.71100001,205311016.0082839
10,5,3,101694033.68881482,198291899.24097425
10,5,4,95934101.83366667,182380240.2573438
10,5,5,89991029.53875555,180197158.5842448
