run,iteration,n_estimators,max_depth,max_samples,max_features,mae,rmse
1,2,10,10,0.5,0.5,81179807.73416,176115740.59146842
1,2,10,10,0.5,0.75,88158832.30185331,192694973.1811561
1,2,10,10,0.5,1.0,79257316.73978667,169280300.1050611
1,2,10,10,0.75,0.25,66277258.480639994,150918650.16435546
1,2,10,10,0.75,0.5,97503587.91145335,212623605.36677268
1,2,10,10,0.75,0.75,105645470.02805333,221246988.83569485
1,2,10,10,0.75,1.0,80487857.77369331,187607353.00140658
1,2,10,10,1.0,0.25,94017708.14689331,192919376.69218546
1,2,10,10,1.0,0.5,88925917.55450667,205109656.10060075
1,2,10,10,1.0,0.75,97344235.82430668,240530734.2104981
1,2,10,10,1.0,1.0,107708400.94381334,233652381.22691482
1,2,10,15,0.25,0.25,84865802.01737331,199990418.89607555
1,2,10,15,0.25,0.5,103547891.4697467,232463405.31278157
1,2,10,15,0.25,0.75,103583238.05406666,231397567.78135645
1,2,10,15,0.25,1.0,96620701.5516,205004550.06522748
1,2,10,15,0.5,0.25,95773045.3177333,203946492.6533965
1,2,10,15,0.5,0.5,95635808.36385332,212548011.66003168
1,2,10,15,0.5,0.75,78692816.02021332,175063436.27655727
1,2,10,15,0.5,1.0,123151005.53264,239053746.89314842
1,2,10,15,0.75,0.25,79869459.82325332,169769240.226995
1,2,10,15,0.75,0.5,88399055.36190666,182992248.9707967
1,2,10,15,0.75,0.75,104059418.5858,255028853.22485986
1,2,10,15,0.75,1.0,85272508.67956,193222308.7534291
1,2,10,15,1.0,0.25,77375292.42114668,199322986.5871043
1,2,10,15,1.0,0.5,97858293.73980002,209296273.26035556
1,2,10,15,1.0,0.75,90207916.85061331,189678940.2808421
1,2,10,15,1.0,1.0,87665711.02261335,190535284.18382904
1,2,50,,0.25,0.25,76867961.20343201,171249089.7037103
1,2,50,,0.25,0.5,82232240.45718668,185682708.04893914
1,2,50,,0.25,0.75,90149508.58491735,196127731.02854612
1,2,50,,0.25,1.0,80694542.08814399,183551104.77921957
1,2,50,,0.5,0.25,83617317.01708801,181815141.07836384
1,2,50,,0.5,0.5,80502243.68835205,182196026.3302147
1,2,50,,0.5,0.75,86647983.64146401,182046804.26857147
1,2,50,,0.5,1.0,75089132.20656,179086369.8671396
1,2,50,,0.75,0.25,79635074.894744,178488263.16861936
1,2,50,,0.75,0.5,97310222.2084,211027729.0579886
1,2,50,,0.75,0.75,82476220.82299201,180568572.25514978
1,2,50,,0.75,1.0,87742378.17076269,200028142.7274934
1,2,50,,1.0,0.25,75788457.04306667,167987548.83033037
1,2,50,,1.0,0.5,81171409.6545467,182951029.7267496
1,2,50,,1.0,0.75,87224972.46021335,193419355.19815928
1,2,50,,1.0,1.0,94652753.86398934,208103237.09543553
1,2,50,5,0.25,0.25,85862590.886944,191508818.02068034
1,2,50,5,0.25,0.5,92051189.39762665,200412001.4351469
1,2,50,5,0.25,0.75,69226995.66589867,165198167.83728027
1,2,50,5,0.25,1.0,91380496.56235997,199332085.23621583
1,2,50,5,0.5,0.25,86725881.88535066,186041441.5261785
1,2,50,5,0.5,0.5,87519345.52715868,192750736.51015428
1,2,50,5,0.5,0.75,92272989.88932268,195824597.0023202
1,2,50,5,0.5,1.0,81697755.50343467,183447518.1732367
1,2,50,5,0.75,0.25,80654903.3695149,181416144.62005398
1,2,50,5,0.75,0.5,85615972.7769971,190193209.62898558
1,2,50,5,0.75,0.75,82010061.97614355,174643661.52309734
1,2,50,5,0.75,1.0,90023491.26687135,198059345.72261274
1,2,50,5,1.0,0.25,77060603.26899567,171307041.73832417
1,2,50,5,1.0,0.5,83096692.91079578,184378242.84653705
1,2,50,5,1.0,0.75,89385542.80998223,192907996.3254468
1,2,50,5,1.0,1.0,91242694.44909245,193827108.59046364
